Txnuid,Uid,Adjdate,Adjtype,Remitter,Beneficiery,Response,Txndate,Txntime,RRN,Terminalid,Ben_Mobile_No,Rem_Mobile_No,Chbref,Txnamount,Adjamount,Rem/PayeePSP_Fee,Ben_Fee,Ben_FeeSW,Adjfee,Npcifee,Remfeetax,Benfeetax,Npcitax,Adjref,Bankadjref,Adjproof,Compensation amount,time,Penalty,SHDT73,SHDT74,SHDT75,SHDT76,SHDT77,Transaction_Type,Transaction Indicator,Beneficiary Account number,Remitter Account number,Aadhar Number,Mobile Number,Payer PSP,Payee PSP,UPI Transaction ID,Virtual Address,Dispute Flag,Reason Code,MCC,Originating Channel
9884760536,5032366405,02-09-2024 00:00:00,Fraud Chargeback Raise,APP,ICI,R9,02-09-2024 00:00:00,0:0:0,378816218748,159332,9473788174623,7431319078662,,310.21,310.21,0,0,0,0,0,0,0,0,APP/ICI/Fraud Chargeback Raise/5032366405,DRC,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9001920425968752489,9303389430821533322,,93650891416616,ICI,ICI,a15ba49582c894c8bbcfd82d,,RRC,103,0202,UMOB
1248774745,9009317669,02-09-2024 00:00:00,Chargeback Raise,SBL,SBI,RB,02-09-2024 00:00:00,0:0:0,051466624865,159332,9069316954491,7597398201559,,921.24,921.24,0,0,0,0,0,0,0,0,SBL/SBI/Chargeback Raise/9009317669,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9063133646275088393,9381853089444620996,,93176869077376,SBI,SBI,582adf13c31df3dbf0aa8f9e,,PR2C,108,9189,IDIR
2309284958,9919290564,02-09-2024 00:00:00,RET,SBL,IOB,RB,02-09-2024 00:00:00,0:0:0,858041440439,159332,9676847078772,7460229997642,,49.31,49.31,0,0,0,0,0,0,0,0,SBL/IOB/RET/9919290564,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9065632871071215013,9387768585257061481,,93393868824427,IOB,IOB,80bdf64f7e5fa47ecad7be6f,,TCC,102,2532,IDIR
6645057982,5973062607,02-09-2024 00:00:00,Credit Adjustment,SBL,MBK,R9,02-09-2024 00:00:00,0:0:0,070681386568,159332,9010052964675,7172823230440,,708.30,708.30,0,0,0,0,0,0,0,0,SBL/MBK/Credit Adjustment/5973062607,Credit Adjustment,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9051157157785249211,9355552464905867585,,93305498726304,MBK,MBK,ffbaf28e47eb42babbe38b32,,PBRB,102,2888,UMOB
4432808860,1862915124,02-09-2024 00:00:00,Re-presentment Raise,SBL,CNB,RB,02-09-2024 00:00:00,0:0:0,918025478903,159332,9825178169325,7272674523470,,40.74,40.74,0,0,0,0,0,0,0,0,SBL/CNB/Re-presentment Raise/1862915124,RET,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9079402690991922952,9332572939891924766,,93172583002138,CNB,CNB,346c1ad8c9ff8cccdbfc5ffb,,TCC,104,6816,UMOB
9256820151,8697908730,02-09-2024 00:00:00,Fraud Chargeback Raise,SBL,INB,0,02-09-2024 00:00:00,0:0:0,904238751176,159332,9568530427038,7782894641024,,228.71,228.71,0,0,0,0,0,0,0,0,SBL/INB/Fraud Chargeback Raise/8697908730,Credit Adjustment,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9046494287257868848,9312597892221210817,,93801952100089,INB,INB,a80e480de106b3ba7fb5bfa8,,TCC,103,2740,IDIR
6202274640,2282956007,02-09-2024 00:00:00,Credit Adjustment,SBL,SBI,0,02-09-2024 00:00:00,0:0:0,944999280609,159332,9126544253413,7357009701339,,402.85,402.85,0,0,0,0,0,0,0,0,SBL/SBI/Credit Adjustment/2282956007,UPI,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9070578670394227369,9313581612531425840,,93248356884956,SBI,SBI,e63b36f91d012f7fafa013fb,,DRC,104,2078,IDIR
8385962908,7934247108,02-09-2024 00:00:00,Wrong Credit Chargeback Raise,SBL,PNB,R9,02-09-2024 00:00:00,0:0:0,702033446069,159332,9384596521698,7875725406922,,114.11,114.11,0,0,0,0,0,0,0,0,SBL/PNB/Wrong Credit Chargeback Raise/7934247108,RET,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9042816099458824714,9381927720274700205,,93186461014472,PNB,PNB,469c2b16acaacd70fcd8d0ac,,PR2C,104,7883,UMOB
5350072189,4961350059,02-09-2024 00:00:00,Complaint Raise,SBL,IPB,0,02-09-2024 00:00:00,0:0:0,029220055538,159332,9907007256590,7179202328669,,425.58,425.58,0,0,0,0,0,0,0,0,SBL/IPB/Complaint Raise/4961350059,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9010252900726771465,9342383189406912367,,93635426458129,IPB,IPB,bce51c9a37d495dae2410048,,PBRB,108,8751,UMOB
8533410919,1767695667,02-09-2024 00:00:00,Chargeback Raise,SBL,APP,0,02-09-2024 00:00:00,0:0:0,385222564335,159332,9299904048746,7158712350881,,881.82,881.82,0,0,0,0,0,0,0,0,SBL/APP/Chargeback Raise/1767695667,UPI,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9015651296621572063,9379676132270293760,,93055225927515,APP,APP,3069fde058dc2aa1b2cffb73,,PR2C,U008,2656,UMOB
8256493395,5062405058,02-09-2024 00:00:00,Wrong Credit Chargeback Raise,APP,IIB,RB,02-09-2024 00:00:00,0:0:0,592817450882,159332,9742604693815,7623121167484,,133.80,133.80,0,0,0,0,0,0,0,0,APP/IIB/Wrong Credit Chargeback Raise/5062405058,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9009425259295525306,9308287751346331920,,93971649250741,IIB,IIB,1ac625da3bb2786d7c608f7c,,PR2C,103,6225,UMOB
0545165645,9776586094,02-09-2024 00:00:00,Wrong credit Representment,SBL,SIB,R9,02-09-2024 00:00:00,0:0:0,005872389003,159332,9611791203783,7664145562755,,242.27,242.27,0,0,0,0,0,0,0,0,SBL/SIB/Wrong credit Representment/9776586094,DRC,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9016036802207660771,9386631163840920628,,93816338663586,SIB,SIB,3ecc25cbc6d36affe7ec10ba,,TCC,108,1936,UMOB
7994669834,3069101476,02-09-2024 00:00:00,Fraud Chargeback Raise,SBL,KVB,RB,02-09-2024 00:00:00,0:0:0,333177271680,159332,9590942476047,7784851435171,,426.02,426.02,0,0,0,0,0,0,0,0,SBL/KVB/Fraud Chargeback Raise/3069101476,DRC,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9063683102840062579,9380817468465766292,,93699011123663,KVB,KVB,4ad3d3fac1d4c64933c63687,,DRC,U010,4604,IDIR
4005333771,8291860748,02-09-2024 00:00:00,Re-presentment Raise,SBL,YES,R9,02-09-2024 00:00:00,0:0:0,463014287003,159332,9908254013629,7114510788098,,75.27,75.27,0,0,0,0,0,0,0,0,SBL/YES/Re-presentment Raise/8291860748,UPI,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9030546698432917507,9375073045994652223,,93320973431538,YES,YES,e2306ed18c9476bcffed0783,,DRC,108,1661,UMOB
9772560080,8558279729,02-09-2024 00:00:00,Wrong Credit Chargeback Raise,AXB,ICI,R9,02-09-2024 00:00:00,0:0:0,949025948787,159332,9626801364247,7525742397746,,604.93,604.93,0,0,0,0,0,0,0,0,AXB/ICI/Wrong Credit Chargeback Raise/8558279729,RET,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9071600770456245908,9310071654065907714,,93053441150274,ICI,ICI,b54fbb0ddcee561b1bc7b406,,DRC,109,3588,UMOB
6046833592,0756828770,02-09-2024 00:00:00,Complaint Raise,PNB,ARL,RB,02-09-2024 00:00:00,0:0:0,192505362763,159332,9827325281574,7139343286402,,512.30,512.30,0,0,0,0,0,0,0,0,PNB/ARL/Complaint Raise/0756828770,Credit Adjustment,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9045713745032863873,9340027742385877468,,93974076002615,ARL,ARL,60d6e2d48accec3da3d30cfa,,PR2C,103,4488,UMOB
