A,DATE,AMOUNT,B,C,D,E,F,G,RRN,H,TXNID
S75960940,01-09-2024 00:00:00,123.82,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,299497206121,01-09-2024 00:00:00,a557ea7aa2ab950f6ceefbad
S75960940,01-09-2024 00:00:00,961.15,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,307066109853,01-09-2024 00:00:00,6bb2d81bef759e0cfaeed1c6
S75960940,01-09-2024 00:00:00,46.87,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,940426462804,01-09-2024 00:00:00,faff2cb3be43b0dc5f95f70c
S75960940,01-09-2024 00:00:00,634.16,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,744658718083,01-09-2024 00:00:00,cf8a45eaafbd3fc255fbeef7
S75960940,01-09-2024 00:00:00,923.72,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,683254303949,01-09-2024 00:00:00,c8865ac3cc9dda4dea1fc2cf
S75960940,01-09-2024 00:00:00,932.98,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,924796233471,01-09-2024 00:00:00,9ef6e8fbbbdf22ae7c61d90d
S75960940,01-09-2024 00:00:00,671.09,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,310188943101,01-09-2024 00:00:00,f5f54f210a9dadbe34e9bd04
S75960940,01-09-2024 00:00:00,550.72,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,500005051013,01-09-2024 00:00:00,27b6bed39c7b4795494ba683
S75960940,01-09-2024 00:00:00,455.03,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,037273029452,01-09-2024 00:00:00,6447b6efc112e2a929e4d3b3
S75960940,01-09-2024 00:00:00,60.65,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,945533836178,01-09-2024 00:00:00,02ca2d6ffabe221cfc29a5f4
S75960940,01-09-2024 00:00:00,335.99,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,873928450661,01-09-2024 00:00:00,f405fbda57fade470cb5a304
S75960940,01-09-2024 00:00:00,814.60,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,275479113302,01-09-2024 00:00:00,2ec15fbddca9aeb2c300f8ae
S75960940,01-09-2024 00:00:00,659.56,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,986111640606,01-09-2024 00:00:00,fc9ecbb328ef3e97bf86c167
S75960940,01-09-2024 00:00:00,653.83,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,158877963630,01-09-2024 00:00:00,a3b3aa650473d53eabf9e33f
S75960940,01-09-2024 00:00:00,654.55,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,510379694789,01-09-2024 00:00:00,0866328404dbaa0b5a587f42
S75960940,01-09-2024 00:00:00,442.91,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,075280651807,01-09-2024 00:00:00,f47bbd58abdac5da2e2eaedd
S75960940,01-09-2024 00:00:00,340.66,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,141337012312,01-09-2024 00:00:00,40afaf3bade3ef3c2c9fe0d8
S75960940,01-09-2024 00:00:00,79.40,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,246743974800,01-09-2024 00:00:00,51a7e52936eac28c96cb158f
S75960940,01-09-2024 00:00:00,674.05,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,051186085314,01-09-2024 00:00:00,b0b695f75cbd6a33eea55bc1
S75960940,01-09-2024 00:00:00,559.43,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,951319878693,01-09-2024 00:00:00,8dffcfb17041e87e736eaf33
S75960940,01-09-2024 00:00:00,394.44,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,969794596810,01-09-2024 00:00:00,71d1fd7820b7e316b32e8b05
S75960940,01-09-2024 00:00:00,275.48,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,158009467114,01-09-2024 00:00:00,5b4227d88cada7b4bba4e5d4
S75960940,01-09-2024 00:00:00,262.74,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,864844228495,01-09-2024 00:00:00,2779fbbeb0fe69a689cb67fc
S75960940,01-09-2024 00:00:00,41.02,01-09-2024 00:00:00,,2001,2650,20012207843065,27111001182650,741534159408,01-09-2024 00:00:00,1acd8ad59e60daefcbb971c0
