NPCI_TXN_TYPE,NPCI_STATUS,TXNID,RRN,NPCI_CODE,DATE,TIME,AMOUNT,A,B,C,D,PSP,E,PAYER_VPA,F,MCC,PAYEE_VPA,G,H,I,J,K,L,M,N
TX,U2,a557ea7aa2ab950f6ceefbad,770227186487,00,090124,234749,12382,,1,1,0,IPB,0,Torey73@okicici,KTP,4814,jiopay.wireless@timecosmos,SMB,SBM5173030,1,61820738717,IDB,HDF4110198,2,39898850762
TX,U2,6bb2d81bef759e0cfaeed1c6,164088206422,Z7,090124,195101,96115,,1,1,0,ARL,0,Crawford99@fkaxis,UOB,4722,tripay.expedition@timecosmos,SMB,SBM3334011,1,81788485619,IPB,INB0866962,2,06106625909
TX,U2,faff2cb3be43b0dc5f95f70c,232700910755,Z7,090124,130115,4687,,1,1,0,YES,0,Jasen_Cremin5@paytm,FIB,5816,airpay.drone@timecosmos,SMB,SBM4196753,1,38848850582,YOM,PNB1257826,2,31281102405
TX,U2,cf8a45eaafbd3fc255fbeef7,955260763235,Z9,090124,164527,63416,,1,1,0,SBI,0,Tia_Raynor@okicici,IOB,4722,tripay.globetrot@timecosmos,SMB,SBM3142905,1,03922050367,SBI,IIB2013566,2,93447820669
TX,U2,c8865ac3cc9dda4dea1fc2cf,261565798288,RB,090124,215902,92372,,1,1,0,FBL,0,Candice43@abfspay,KTP,5816,airpay.robot@timecosmos,SMB,SBM6538734,1,40452118390,UOB,IOB0866629,2,06240803940
TX,U2,9ef6e8fbbbdf22ae7c61d90d,646985608752,00,090124,200156,93298,,1,1,0,PNB,0,Jamison.Zemlak55@yesg,BOM,4722,tripay.tour@timecosmos,SMB,SBM6527749,1,84149906533,BOM,YOM1858723,2,32877733931
TX,U2,f5f54f210a9dadbe34e9bd04,285147649974,Z9,090124,142700,67109,,1,1,0,INB,0,Laisha85@yesg,CBI,5411,finopay.timecosmosrite@timecosmos,SMB,SBM9372684,1,57064229092,GTI,BOM5331700,2,26364519600
TX,U2,27b6bed39c7b4795494ba683,491771351669,Z9,090124,211334,55072,,1,1,0,BOB,0,Genesis.Nitzsche28@oksbi,HDF,5411,finopay.corner@timecosmos,SMB,SBM4191063,1,95026549174,BOM,YOM4734163,2,42701034653
TX,U2,6447b6efc112e2a929e4d3b3,160862113414,Z7,090124,195700,45503,,1,1,0,BOM,0,Cade_Russel43@axl,AXB,4722,tripay.globetrot@timecosmos,SMB,SBM2839441,1,47957726324,KMB,UOB9673776,2,42712611807
TX,U2,02ca2d6ffabe221cfc29a5f4,101013727771,Z9,090124,051256,6065,,1,1,0,AXB,0,Rosanna_OKeefe32@yapl,KVB,5816,airpay.submarine@timecosmos,SMB,SBM4745062,1,02771178835,YES,MBK3048432,2,23514363193
