Txnuid,Uid,Adjdate,Adjtype,Remitter,Beneficiery,Response,Txndate,Txntime,RRN,Terminalid,Ben_Mobile_No,Rem_Mobile_No,Chbref,Txnamount,Adjamount,Rem/PayeePSP_Fee,Ben_Fee,Ben_FeeSW,Adjfee,Npcifee,Remfeetax,Benfeetax,Npcitax,Adjref,Bankadjref,Adjproof,Compensation amount,time,Penalty,SHDT73,SHDT74,SHDT75,SHDT76,SHDT77,Transaction_Type,Transaction Indicator,Beneficiary Account number,Remitter Account number,Aadhar Number,Mobile Number,Payer PSP,Payee PSP,UPI Transaction ID,Virtual Address,Dispute Flag,Reason Code,MCC,Originating Channel
5299111966,8676696448,30-07-2024,Chargeback Acceptance,SBL,IPB,RB,30-07-2024,NaN:NaN:NaN,572100241590,159332,9761986065754,7254857559607,,227.59,227.59,0,0,0,0,0,0,0,0,SBL/IPB/Chargeback Acceptance/8676696448,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9089311228214385431,9393073515523497928,,93632005954734,IPB,IPB,cf8ec20cd1f2affd2a6a1be5,,TCC,501,0999,UMOB
0675549050,4657080331,30-07-2024,Differed Chargeback Raise,BOB,INB,R9,30-07-2024,NaN:NaN:NaN,136979460711,159332,9758245595016,7587021269986,,766.56,766.56,0,0,0,0,0,0,0,0,BOB/INB/Differed Chargeback Raise/4657080331,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9030533095878238894,9337380918904293810,,93793171861025,INB,INB,cf27854f3d26ef1afc0d8e5f,,DRC,104,9124,UMOB
4919511768,4587823731,30-07-2024,Fraud Chargeback Raise,SBL,CNB,0,30-07-2024,NaN:NaN:NaN,235108594007,159332,9685767141011,7874501971033,,804.61,804.61,0,0,0,0,0,0,0,0,SBL/CNB/Fraud Chargeback Raise/4587823731,DRC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9036356280350392642,9328931042692464553,,93862084208294,CNB,CNB,9552b86780c0accefcb685ad,,PR2C,102,3001,IDIR
0469578365,2316107996,30-07-2024,Wrong Credit Chargeback Raise,YES,APP,RB,30-07-2024,NaN:NaN:NaN,998932971191,159332,9584840897657,7104748241580,,56.33,56.33,0,0,0,0,0,0,0,0,YES/APP/Wrong Credit Chargeback Raise/2316107996,Credit Adjustment,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9019494192221217401,9306609849597666682,,93826287052715,APP,APP,bf55bafd92d63c1baa20d7c4,,DRC,U010,1872,UMOB
6474344842,7090581743,30-07-2024,Fraud Chargeback Representment,SBL,GTI,RR,30-07-2024,NaN:NaN:NaN,042202541952,159332,9356382181730,7232661530426,,741.40,741.40,0,0,0,0,0,0,0,0,SBL/GTI/Fraud Chargeback Representment/7090581743,Credit Adjustment,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9065809873672598892,9352817739855971707,,93286534387851,GTI,GTI,b59c18eb44dd1abbdc9ab02f,,RRC,501,7717,IDIR
4120160167,6515417777,30-07-2024,Chargeback Acceptance,SBL,ARL,RR,30-07-2024,NaN:NaN:NaN,771752672904,159332,9007452538366,7802824175991,,694.08,694.08,0,0,0,0,0,0,0,0,SBL/ARL/Chargeback Acceptance/6515417777,UPI,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9008344826740916103,9326808202534176040,,93030289880352,ARL,ARL,ced73ae8f3ea1f5bc2ad1b99,,PBRB,102,2066,IDIR
1712441970,9528407747,30-07-2024,Refund Reversal Confirmation,GTI,INB,0,30-07-2024,NaN:NaN:NaN,250917854996,159332,9001458992292,7471555449191,,189.17,189.17,0,0,0,0,0,0,0,0,GTI/INB/Refund Reversal Confirmation/9528407747,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9051751988674394653,9365175280709974079,,93168482522627,INB,INB,ecc2c6bcaa2e9f6fcf1ddeb2,,RRC,U008,7473,UMOB
6765801773,7206466489,30-07-2024,Fraud Chargeback Representment,SBL,INB,RR,30-07-2024,NaN:NaN:NaN,601957481893,159332,9677162265458,7683503655087,,23.58,23.58,0,0,0,0,0,0,0,0,SBL/INB/Fraud Chargeback Representment/7206466489,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9049440532026735369,9373346677857907035,,93326475159953,INB,INB,b7e8d8439eb39b27a3366f3c,,PBRB,108,6193,IDIR
8044344568,2151568458,30-07-2024,TCC,SBL,KMB,RR,30-07-2024,NaN:NaN:NaN,989801747276,159332,9614506223004,7431444747424,,660.12,660.12,0,0,0,0,0,0,0,0,SBL/KMB/TCC/2151568458,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9057114990688632566,9385537417466943108,,93355376745279,KMB,KMB,dd58154f6be669f9d2d8ca2e,,PR2C,102,6240,UMOB
6961381328,9756188235,30-07-2024,Fraud Chargeback Raise,HDF,KMB,RR,30-07-2024,NaN:NaN:NaN,560970928826,159332,9755838876391,7394514792704,,498.96,498.96,0,0,0,0,0,0,0,0,HDF/KMB/Fraud Chargeback Raise/9756188235,DRC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9038283617192452340,9349764525857629859,,93148205976094,KMB,KMB,7e1101c1ceadf0adc737c4f4,,PBRB,501,8552,UMOB
9890288084,4656750510,30-07-2024,Differed Re-presentment Raise,IPB,SIB,R9,30-07-2024,NaN:NaN:NaN,949616436013,159332,9601867409832,7005912286524,,333.46,333.46,0,0,0,0,0,0,0,0,IPB/SIB/Differed Re-presentment Raise/4656750510,RET,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9021750735820470402,9305831627316952616,,93288784885520,SIB,SIB,42bf9bdcbfdbd6cd4dd7c60b,,PBRB,108,6989,UMOB
2652490825,9641352612,30-07-2024,Refund Reversal Confirmation,SBL,INB,0,30-07-2024,NaN:NaN:NaN,732424458484,159332,9712138968767,7000473154233,,115.12,115.12,0,0,0,0,0,0,0,0,SBL/INB/Refund Reversal Confirmation/9641352612,Credit Adjustment,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9098439999559031925,9393706480497733846,,93223740820936,INB,INB,fcda239043c84ad4b9a1f0be,,RRC,102,8431,IDIR
3371693101,1985109900,30-07-2024,Refund Reversal Confirmation,SBL,PNB,0,30-07-2024,NaN:NaN:NaN,754829558334,159332,9881441846135,7752230822228,,469.28,469.28,0,0,0,0,0,0,0,0,SBL/PNB/Refund Reversal Confirmation/1985109900,RET,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9085466624678984986,9388189070461782251,,93717572128265,PNB,PNB,e1eb98eb4d8cfc7bbffdc08b,,PR2C,U010,8698,IDIR
9052891077,8283905418,30-07-2024,Wrong credit Representment,SBL,BOM,RB,30-07-2024,NaN:NaN:NaN,000239761454,159332,9247658456817,7629576977524,,908.14,908.14,0,0,0,0,0,0,0,0,SBL/BOM/Wrong credit Representment/8283905418,UPI,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9000362727232581434,9396482924061096006,,93072052954744,BOM,BOM,7a28dec6aa6dca0bab7c59dc,,RRC,501,9855,UMOB
2360637671,3330662699,30-07-2024,Re-presentment Raise,SBL,FBL,0,30-07-2024,NaN:NaN:NaN,420237631643,159332,9677435383383,7324214283741,,497.66,497.66,0,0,0,0,0,0,0,0,SBL/FBL/Re-presentment Raise/3330662699,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9082091929888998712,9300458020369527747,,93411337556235,FBL,FBL,d839a6145dce1fbad5b2bf57,,PR2C,103,0963,UMOB
1480270754,3679406160,30-07-2024,Re-presentment Raise,YBS,IIB,RR,30-07-2024,NaN:NaN:NaN,464003264073,159332,9288356478508,7233003081028,,734.53,734.53,0,0,0,0,0,0,0,0,YBS/IIB/Re-presentment Raise/3679406160,Credit Adjustment,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9022038623550767198,9336066916170932551,,93476103613902,IIB,IIB,f5b558fdded6c3ba07a1acd3,,PR2C,108,6894,IDIR
4281461339,1236220061,30-07-2024,Credit Adjustment,IPB,UCO,R9,30-07-2024,NaN:NaN:NaN,662510926786,159332,9954119861202,7705024140516,,804.35,804.35,0,0,0,0,0,0,0,0,IPB/UCO/Credit Adjustment/1236220061,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9044088938614420722,9353912697092171005,,93671067933202,UCO,UCO,26c44e8f4db7bba3c2aceda8,,TCC,501,1953,IDIR
9963512280,7721136750,30-07-2024,Credit Adjustment,SBL,IIB,RR,30-07-2024,NaN:NaN:NaN,655346824799,159332,9623880963971,7320247556159,,818.05,818.05,0,0,0,0,0,0,0,0,SBL/IIB/Credit Adjustment/7721136750,UPI,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9089722114990481076,9330680393979910059,,93373434512306,IIB,IIB,2733aaefb2efcee9ff3f5c2d,,RRC,103,5279,IDIR
1010998310,3750872034,30-07-2024,Differed Chargeback Raise,SBL,CBI,0,30-07-2024,NaN:NaN:NaN,653021418002,159332,9511410384633,7605609531050,,688.67,688.67,0,0,0,0,0,0,0,0,SBL/CBI/Differed Chargeback Raise/3750872034,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9083260793969112473,9394082898953022005,,93971851696434,CBI,CBI,c6accf45f92cabe1a10fbbdb,,TCC,104,3876,IDIR
6209234819,8560616199,30-07-2024,Fraud Chargeback Representment,APP,ICI,0,30-07-2024,NaN:NaN:NaN,574396763121,159332,9984160437431,7366993970500,,301.16,301.16,0,0,0,0,0,0,0,0,APP/ICI/Fraud Chargeback Representment/8560616199,Credit Adjustment,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9020345278824179483,9370967599327926403,,93381137487374,ICI,ICI,561c1ffedcfeb22ff7c0fbea,,PBRB,104,2808,IDIR
0022462739,2358972905,30-07-2024,Fraud Chargeback Representment,YES,ARL,R9,30-07-2024,NaN:NaN:NaN,331580332609,159332,9058553629444,7626457938851,,12.17,12.17,0,0,0,0,0,0,0,0,YES/ARL/Fraud Chargeback Representment/2358972905,DRC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9078343475617099167,9377674345725775723,,93495115193702,ARL,ARL,549163ceefbb6cf371bdfb6d,,TCC,U010,9834,IDIR
0818848802,0438489781,30-07-2024,Wrong Credit Chargeback Raise,BOB,SIB,R9,30-07-2024,NaN:NaN:NaN,714489221460,159332,9260486749831,7958859399772,,625.99,625.99,0,0,0,0,0,0,0,0,BOB/SIB/Wrong Credit Chargeback Raise/0438489781,Credit Adjustment,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9037472786611528281,9329945320814549315,,93256254260055,SIB,SIB,41edf22c465e1dfd6a6a6cf1,,RRC,U010,8720,IDIR
4083833836,8633321451,30-07-2024,RET,SBL,YBS,RB,30-07-2024,NaN:NaN:NaN,543945251698,159332,9850504124118,7329523597755,,537.70,537.70,0,0,0,0,0,0,0,0,SBL/YBS/RET/8633321451,DRC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9081179564226083006,9358764695772616230,,93969710815468,YBS,YBS,c2fbad7d452a38b4eaaacd65,,RRC,109,6355,UMOB
4431040205,9799170689,30-07-2024,TCC,SBL,IPB,RB,30-07-2024,NaN:NaN:NaN,730664612134,159332,9894767807027,7966495108585,,353.79,353.79,0,0,0,0,0,0,0,0,SBL/IPB/TCC/9799170689,Credit Adjustment,DRC_20240402_83.CSV,0,,0,,,,,,U2,COLLECT,9029201124258557633,9328162070537223670,,93560989444787,IPB,IPB,80d66b1629aa03183e8c5f9d,,DRC,U008,0287,IDIR
2543863098,4673698522,30-07-2024,Differed Chargeback Raise,INB,APP,RB,30-07-2024,NaN:NaN:NaN,092519189227,159332,9025962958566,7548017751075,,811.57,811.57,0,0,0,0,0,0,0,0,INB/APP/Differed Chargeback Raise/4673698522,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9071886673474780004,9365601394628206958,,93328297338664,APP,APP,f4ccb058efd3bda597e2ea7d,,PR2C,U010,9040,IDIR
5129883118,3171523306,30-07-2024,RET,GTI,CNB,RR,30-07-2024,NaN:NaN:NaN,799289890564,159332,9027075947388,7087640451511,,194.11,194.11,0,0,0,0,0,0,0,0,GTI/CNB/RET/3171523306,RET,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9087967222395501192,9369322499733841184,,93744110196363,CNB,CNB,59bcfd9b09a6d7164bfc3c2d,,PBRB,U008,1892,IDIR
3430742829,7317736980,30-07-2024,Refund Reversal Confirmation,SBL,BOB,RR,30-07-2024,NaN:NaN:NaN,264997529720,159332,9752094515278,7233135511253,,475.65,475.65,0,0,0,0,0,0,0,0,SBL/BOB/Refund Reversal Confirmation/7317736980,TCC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9087423191980455215,9308347823538484524,,93113344895646,BOB,BOB,bc8e91f331c0b67e50876be6,,DRC,U008,2997,IDIR
1543257493,7246473863,30-07-2024,Fraud Chargeback Raise,SBL,CBI,RR,30-07-2024,NaN:NaN:NaN,834780733338,159332,9956542463016,7130304028960,,377.41,377.41,0,0,0,0,0,0,0,0,SBL/CBI/Fraud Chargeback Raise/7246473863,RET,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9022450175953174263,9372779509100394079,,93147231434649,CBI,CBI,a16bc8eeca16bbe2fabd9fdc,,TCC,U010,2066,IDIR
6044767041,2520104195,30-07-2024,Chargeback Acceptance,KMB,GTI,0,30-07-2024,NaN:NaN:NaN,663045856165,159332,9055778141001,7857012337853,,509.89,509.89,0,0,0,0,0,0,0,0,KMB/GTI/Chargeback Acceptance/2520104195,UPI,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9053622519069131243,9310306606946492020,,93668219421962,GTI,GTI,3dd107ca983e512e5ba1ad3d,,DRC,109,3943,UMOB
5051741956,6515117406,30-07-2024,Fraud Chargeback Raise,SBL,IDC,R9,30-07-2024,NaN:NaN:NaN,798887948298,159332,9374785692599,7057760994492,,419.62,419.62,0,0,0,0,0,0,0,0,SBL/IDC/Fraud Chargeback Raise/6515117406,DRC,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9049203046115756296,9393761914780702954,,93869050023812,IDC,IDC,6d3cfbcdf2ac985fe2842e35,,TCC,U010,6165,UMOB
0635162627,7682942589,30-07-2024,Differed Re-presentment Raise,SBL,FBL,0,30-07-2024,NaN:NaN:NaN,123423525830,159332,9238231700978,7792301448359,,397.08,397.08,0,0,0,0,0,0,0,0,SBL/FBL/Differed Re-presentment Raise/7682942589,Credit Adjustment,DRC_20240402_83.CSV,0,,0,,,,,,U2,PAY,9067007447036992551,9328421313321748226,,93691126890161,FBL,FBL,8edf4c8fb79529fa9c4bfd4f,,TCC,U008,7759,UMOB
