A,DATE,AMOUNT,B,C,D,E,F,G,RRN,H,TXNID
S75960940,30-07-2024 00:00:00,699.4,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,251735439532,30-07-2024 00:00:00,5e424ba82d652d$%$adc31e72cf
S75960940,30-07-2024 00:00:00,762.14,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,204512652269,30-07-2024 00:00:00,5d8bececcbfdb1bd39efca3a
S75960940,30-07-2024 00:00:00,307.73,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,566725749673,30-07-2024 00:00:00,ae00c621ecca08e98ca5fafe
S75960940,30-07-2024 00:00:00,475.8,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,682254175150,30-07-2024 00:00:00,8faebff70faaba5$%b96df80bb
S75960940,30-07-2024 00:00:00,486.78,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,508766461806,30-07-2024 00:00:00,d44ace66e5ec943e5caffada
S75960940,30-07-2024 00:00:00,232.09,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,840571290777,30-07-2024 00:00:00,ab6ce7fba5deda7cd23ecce5
S75960940,30-07-2024 00:00:00,325.83,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,269911118461,30-07-2024 00:00:00,514affd68c2a9cbede10b6b6
S75960940,30-07-2024 00:00:00,300.15,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,176071997855,30-07-2024 00:00:00,Aa4dbfdbfc5e%$213662b2aa0c
S75960940,30-07-2024 00:00:00,19.47,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,941267992650,30-07-2024 00:00:00,fa10eea8e11eda4d121cafcc
S75960940,30-07-2024 00:00:00,696.68,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,166183660553,30-07-2024 00:00:00,8ceaf01ec39eeeabff1f7ef7
S75960940,30-07-2024 00:00:00,227.59,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,150216791305,30-07-2024 00:00:00,Cf8ec20cd1f%$2affd2a6a1be5
S75960940,30-07-2024 00:00:00,428.53,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,679149068910,30-07-2024 00:00:00,099e79b4ed0fd4fa0b7d2a8f
S75960940,30-07-2024 00:00:00,615.65,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,442404094073,30-07-2024 00:00:00,b30fe2f567eeef0dcf3957cd
S75960940,30-07-2024 00:00:00,766.56,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,189758814446,30-07-2024 00:00:00,cf27854f3d26ef1afc0d8e5f
S75960940,30-07-2024 00:00:00,359.92,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,568706729186,30-07-2024 00:00:00,81e6eeb7645bfafda91a05ab
S75960940,30-07-2024 00:00:00,360.34,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,230117620760,30-07-2024 00:00:00,5dc6d98cca3f38c6d0ab2bbf
S75960940,30-07-2024 00:00:00,902.57,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,810823614079,30-07-2024 00:00:00,b51b632f7dea2adececf391e
S75960940,30-07-2024 00:00:00,804.61,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,935264201507,30-07-2024 00:00:00,9552b86780c0accefcb685ad
S75960940,30-07-2024 00:00:00,56.33,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,284635303426,30-07-2024 00:00:00,bf55bafd92d63c1baa20d7c4
S75960940,30-07-2024 00:00:00,731.58,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,517163568684,30-07-2024 00:00:00,b1c6cae709bad347ebd460c3
S75960940,30-07-2024 00:00:00,105.61,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,640619743270,30-07-2024 00:00:00,b0c56e54154d2bcda86cfecd
S75960940,30-07-2024 00:00:00,369.52,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,388885612835,30-07-2024 00:00:00,6d76aeee6af8dcaf29a57bb3
S75960940,30-07-2024 00:00:00,403.51,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,601010648684,30-07-2024 00:00:00,1bebeefaee6f9cc4c8eb60e2
S75960940,30-07-2024 00:00:00,741.4,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,892006152738,30-07-2024 00:00:00,b59c18eb44dd1abbdc9ab02f
S75960940,30-07-2024 00:00:00,250.27,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,724897560519,30-07-2024 00:00:00,ca0ea3fc3fbdf3a3245e8177
S75960940,30-07-2024 00:00:00,694.08,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,438768088342,30-07-2024 00:00:00,ced73ae8f3ea1f5bc2ad1b99
S75960940,30-07-2024 00:00:00,89.87,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,642450978793,30-07-2024 00:00:00,262d9c7c4bb5815eaa6fefbc
S75960940,30-07-2024 00:00:00,189.17,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,34864856941,30-07-2024 00:00:00,ecc2c6bcaa2e9f6fcf1ddeb2
S75960940,30-07-2024 00:00:00,439.28,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,758515186250,30-07-2024 00:00:00,cf562bd9c3fbad55fb2ddbb0
S75960940,30-07-2024 00:00:00,786.65,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,679324989924,30-07-2024 00:00:00,d7bf71647721b9dfcd9aadb0
S75960940,30-07-2024 00:00:00,890.73,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,869229243397,30-07-2024 00:00:00,79c5a5f927cbd79bb95f2a29
S75960940,30-07-2024 00:00:00,111.84,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,865516069503,30-07-2024 00:00:00,4ec6eda8f3ef9cad3ecf0531
S75960940,30-07-2024 00:00:00,23.58,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,406376610630,30-07-2024 00:00:00,b7e8d8439eb39b27a3366f3c
S75960940,30-07-2024 00:00:00,950.18,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,937415361881,30-07-2024 00:00:00,0eda1c204b4410dfd7cfb4d0
S75960940,30-07-2024 00:00:00,660.12,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,235762217190,30-07-2024 00:00:00,dd58154f6be669f9d2d8ca2e
S75960940,30-07-2024 00:00:00,720.31,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,38453049170,30-07-2024 00:00:00,da34017f82dedd4ce2eba6f7
S75960940,30-07-2024 00:00:00,617.01,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,185495027931,30-07-2024 00:00:00,edb023bdb23dab76ed3f0834
S75960940,30-07-2024 00:00:00,16.4,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,26365825095,30-07-2024 00:00:00,e37b03eb2fc24b03aec0fc7b
S75960940,30-07-2024 00:00:00,17.98,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,52956936577,30-07-2024 00:00:00,fb6a2ef2854b134fb9949a45
S75960940,30-07-2024 00:00:00,303,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,477248452101,30-07-2024 00:00:00,81ad76ab86c176ada1d34a3a
S75960940,30-07-2024 00:00:00,498.96,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,515196561775,30-07-2024 00:00:00,7e1101c1ceadf0adc737c4f4
S75960940,30-07-2024 00:00:00,585.77,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,316630598622,30-07-2024 00:00:00,f8b16ffc6e441a9b57aed3e7
S75960940,30-07-2024 00:00:00,849.65,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,633555331746,30-07-2024 00:00:00,cfbc6650aeaab88ee3cea43c
S75960940,30-07-2024 00:00:00,83.84,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,561115296897,30-07-2024 00:00:00,5eeff3ec769987b05fd94fef
S75960940,30-07-2024 00:00:00,394.35,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,816849993708,30-07-2024 00:00:00,606a37e4e5deab6e78d56af2
S75960940,30-07-2024 00:00:00,693.28,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,637469020756,30-07-2024 00:00:00,a30eaabcbed8ccecca27a44c
S75960940,30-07-2024 00:00:00,333.46,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,669995969202,30-07-2024 00:00:00,42bf9bdcbfdbd6cd4dd7c60b
S75960940,30-07-2024 00:00:00,675.45,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,47767173130,30-07-2024 00:00:00,49ecdd9ca56cea2d855aaea1
S75960940,30-07-2024 00:00:00,736.17,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,501047995024,30-07-2024 00:00:00,845b8cb8267aadcedadceecd
S75960940,30-07-2024 00:00:00,832.75,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,132779854608,30-07-2024 00:00:00,be589efab4d50cbc96abefb2
S75960940,30-07-2024 00:00:00,263.05,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,505458038653,30-07-2024 00:00:00,1e8a6f4a58aba9bdb940e42b
S75960940,30-07-2024 00:00:00,110.94,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,980585595690,30-07-2024 00:00:00,fa9da0db2adfdd60f6ba0171
S75960940,30-07-2024 00:00:00,581.96,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,444387698433,30-07-2024 00:00:00,f8f7dbd0e1cac4d2ed534c20
S75960940,30-07-2024 00:00:00,115.12,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,890403284846,30-07-2024 00:00:00,fcda239043c84ad4b9a1f0be
S75960940,30-07-2024 00:00:00,469.28,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,197075137231,30-07-2024 00:00:00,e1eb98eb4d8cfc7bbffdc08b
S75960940,30-07-2024 00:00:00,849.33,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,788978247556,30-07-2024 00:00:00,e600adc2abdf5b1a68974a1a
S75960940,30-07-2024 00:00:00,179.95,30-07-2024 00:00:00,,2001,2650,20012207843065,27111001182650,253952125821,30-07-2024 00:00:00,b160b9bf022cc3aaed7daa4f
