NPCI_TXN_TYPE,NPCI_STATUS,TXNID,RRN,NPCI_CODE,DATE,TIME,AMOUNT,A,B,C,D,PSP,E,PAYER_VPA,F,MCC,PAYEE_VPA,G,H,I,J,K,L,M,N
TX,U2,d13ee2ebc008bc3646bc1cce,905849352108,Z7,73024,142137,66195,,1,1,0,ICI,0,Jedidiah.Jenkins90@yapl,YOM,5816,gamming.airplane@sbm,SMB,SBM3807530,1,11710869291,IPB,IDB8879944,2,94049776057
TX,U2,5e424ba82d652dadc3$VP1e72cf,251735439532,0,73024,82526,69940,,1,1,0,IDC,0,Thurman.Mayert@timecosmos,CNB,5816,gamming.robot@sbm,SMB,SBM2329920,1,13235478041,AXB,KVB0194566,2,81016168821
TX,U2,ed19cb984126f0#vishaladc0c29bcb,229645198025,0,73024,113710,20079,,1,1,0,INB,0,Naomie71@yesg,GTI,4814,telecom.fiber@sbm,SMB,SBM5500003,1,39894495675,YOM,CNB7318517,2,66695336502
TX,U2,5d8bececcbfdb1bd%HV39efca3a,204512652269,0,73024,183002,76214,,1,1,0,YES,0,Leatha.Prosacco@okhdfcbank,KMB,5814,dinning.vegetarian@sbm,SMB,SBM0812403,1,75027122237,ARL,CBI3651565,2,24978402638
TX,U2,ae00c621ecca08e98ca5fafe,566725749673,0,73024,153911,30773,,1,1,0,IDC,0,Kaylin33@okhdfcbank,PNB,4722,traveler.vacation@sbm,SMB,SBM1897689,1,28168329440,BOB,FBL4730073,2,46598521379
TX,U2,8faebff70faaba5b96df80bb,682254175150,0,73024,40826,47580,,1,1,0,SBI,0,Lynn_Bartell@axl,YOM,4814,telecom.mobile@sbm,SMB,SBM0465000,1,10784296296,IPB,HDF2478395,2,79355251075
TX,U2,d44ace66e5ec943e5caffada,508766461806,0,73024,1957,48678,,1,1,0,UOB,0,Casimer46@abfspay,BOI,5411,grocery.sbmrite@sbm,SMB,SBM8858171,1,89873201091,APP,BDN8304381,2,45514165974
TX,U2,d0c6debd6a34f77bb2dadd4e,3150184776,Z7,73024,105226,91113,,1,1,0,APP,0,Darby_Bode85@oksbi,IDB,5814,dinning.tacos@sbm,SMB,SBM0080065,1,79132871228,YBS,HDF5310903,2,68905322137
TX,U2,Ffc8eb575d232a%vishal5b5bea108a,441716624054,Z7,73024,135209,42645,,1,1,0,PNB,0,June.Gibson@rapl,BOI,,bookerr.npstltdindia@sbm,SMB,SBM1835619,1,41151613745,CNB,BDN9984519,2,86017496220
TX,U2,ab6ce7fba5deda7cd23ecce5,840571290777,0,73024,184938,23209,,1,1,0,IPB,0,Ova82@fkaxis,BOM,4814,telecom.data@sbm,SMB,SBM0931753,1,23557274447,BOB,AXB8705326,2,34235793835
TX,U2,ac336df9d998e02bb757d01a,257508393020,Z9,73024,4653,31943,,1,1,0,BOI,0,Jena.Rath@idfcbank,IPB,5816,gamming.helmet@sbm,SMB,SBM4614858,1,25338075814,MBK,YES4872235,2,81502270732
TX,U2,5c0ee54fb0e177950fb99b62,568633228274,Z7,73024,192210,14443,,1,1,0,KVB,0,Jayme88@axisb,YES,,bookerr.npstltdindia@sbm,SMB,SBM9458333,1,15946196074,SIB,BOI6110317,2,27390525601
TX,U2,514affd68c2a9cbed#vishale10b6b6,269911118461,0,73024,21631,32583,,1,1,0,IDC,0,Marshall_Walker@abfspay,CNB,,bookerr.npstltdindia@sbm,SMB,SBM9130849,1,39587803005,YJU,YJU1988511,2,95494443703
TX,U2,aa4dbfdbfc5e213662b2aa0c,176071997855,0,73024,170330,30015,,1,1,0,YJU,0,Gilberto.Aufderhar21@icici,KMB,4814,telecom.fiber@sbm,SMB,SBM6001710,1,34741923909,ICI,APP1587396,2,79205915329
TX,U2,b3e4b4b89e82a9c00c9b07ed,634495528617,Z7,73024,111055,81184,,1,1,0,CNB,0,Robert.Lang@timecosmos,PNB,4722,traveler.wander@sbm,SMB,SBM0844368,1,41547129666,IDB,SIB9568789,2,27268658935
TX,U2,fa10eea8e11eda4d121cafcc,941267992650,0,73024,222216,1947,,1,1,0,YES,0,Joey_Braun7@okaxis,BDN,5816,gamming.submarine@sbm,SMB,SBM6065493,1,71597027142,BOI,YOM1672991,2,91776662072
TX,U2,8ceaf01ec39eee&vishalabff1f7ef7,166183660553,0,73024,23713,69668,,1,1,0,AXB,0,Flavio45@okhdfcbank,HDF,,bookerr.npstltdindia@sbm,SMB,SBM3053248,1,18814529800,SIB,UCO9535039,2,37160630402
TX,U2,cf8ec20cd1f2affd2a6a1be5,150216791305,RB,73024,175819,22759,,1,1,0,CBI,0,Timmothy68@okaxis,BDN,5814,dinning.tacos@sbm,SMB,SBM2010357,1,73128734929,YOM,GTI6957037,2,49985804451
TX,U2,099e79b4ed0fd4fa0b7d2a8f,679149068910,0,73024,121404,42853,,1,1,0,GTI,0,Presley_Lind@okaxis,BDN,5814,dinning.pizza@sbm,SMB,SBM2302110,1,13587955986,INB,IOB4670447,2,4621695625
TX,U2,27ffe2c9816e4@@Vishal19065e9c78b,863873487233,0,73024,102916,46379,,1,1,0,CNB,0,Ignacio_Anderson20@yapl,FBL,4814,telecom.mobile@sbm,SMB,SBM1062723,1,796063903,CBI,UOB9184236,2,23153258618
TX,U2,b30fe2f567eeef0dcf3957cd,442404094073,0,73024,161849,61565,,1,1,0,KMB,0,Agnes_Kuvalis69@oksbi,BOM,4722,traveler.expedition@sbm,SMB,SBM6922566,1,6942997214,UCO,BOI5766947,2,19350970593
TX,U2,cf27854f3d26ef1afc0d8e5f,189758814446,RB,73024,204458,76656,,1,1,0,PNB,0,Ford33@okaxis,KTP,5411,grocery.sbmrite@sbm,SMB,SBM0595596,1,6501130455,APP,IDB4408471,2,17737310301
TX,U2,81e6eeb7645bfafda91a05ab,568706729186,0,73024,155300,35992,,1,1,0,BOI,0,Arnaldo_Kutch@rapl,YBS,5411,grocery.town@sbm,SMB,SBM8356481,1,70450246111,KVB,IIB6989611,2,96014249070
