Date of txn,Amount,Resp Code,Status,RRN,Ext id,Payee Vpa,Txn Note,Payer UPI ID,PayerName,Txn Id,MCC
30-07-2024 00:00:00,661.95,S96,FAILURE,905849352108,d6ee8820-8405-4b5e-a2a9-b7e91f89c43e,gamming.airplane@sbm,PayMerchant,Jedidiah.Jenkins90@yapl,N,d13ee2ebc008bc3646bc1cce,5816
30-07-2024 00:00:00,699.4,U78,SUCCESS,251735439532,7eb875a0-9652-4a12-962a-b172072a1e57,gamming.robot@sbm,payMerchant,Thurman.Mayert@timecosmos,N,5e424ba82d652dadc31e72cf,5816
30-07-2024 00:00:00,200.79,N,FAILURE,229645198025,de1cf724-35d8-413d-bd0e-b0df44cf8268,telecom.fiber@sbm,payMerchant,Naomie71@yesg,N,ed19cb984126f$%0adc0c29bcb,4814
30-07-2024 00:00:00,762.14,N,SUCCESS,204512652269,6d0f8aaa-deed-4d3a-aa19-5e26b777c91c,dinning.vegetarian@sbm,PayMerchant,Leatha.Prosacco@okhdfcbank,N,5d8bececcbfdb1bd39efca3a,5814
30-07-2024 00:00:00,307.73,U31,SUCCESS,566725749673,fe04cb94-98d1-4273-bc24-e8ffb3e43b60,traveler.vacation@sbm,payMerchant,Kaylin33@okhdfcbank,N,ae00c621ecca08e98ca5fafe,4722
30-07-2024 00:00:00,475.8,U67,SUCCESS,682254175150,eda9d4a9-7a6e-4a15-aed4-00bc811837a9,telecom.mobile@sbm,PayMerchant,Lynn_Bartell@axl,N,8faebff70faaba5b96df80bb,4814
30-07-2024 00:00:00,486.78,S96,SUCCESS,508766461806,4e1b261e-b5be-49de-9a76-6ba9bc9785b2,grocery.sbmrite@sbm,PayMerchant,Casimer46@abfspay,N,d44ace66e5ec943e5caffada,5411
30-07-2024 00:00:00,911.13,N,FAILURE,3150184776,b7bf9ff6-a84b-4b5b-b111-987e6e20be37,dinning.tacos@sbm,PayMerchant,Darby_Bode85@oksbi,N,d0c6debd6a34f77bb2dadd4e,5814
30-07-2024 00:00:00,426.45,S96,FAILURE,441716624054,b9d65ae6-b781-4e6c-b56e-dc6c67f5a382,bookerr.npstltdindia@sbm,Person,June.Gibson@rapl,N,ffc8eb575d23$%$2a5b5bea108a,
30-07-2024 00:00:00,232.09,U09,SUCCESS,840571290777,2cf013d7-b2f2-451a-85cd-17fca5bb43e3,telecom.data@sbm,Person,Ova82@fkaxis,N,ab6ce7fba5deda7cd23ecce5,4814
30-07-2024 00:00:00,319.43,U30,FAILURE,257508393020,923bfcdf-4906-442a-99c3-7b8085044a9f,gamming.helmet@sbm,PayMerchant,Jena.Rath@idfcbank,N,ac336df9d998e02bb757d01a,5816
30-07-2024 00:00:00,144.43,N,SUCCESS,568633228274,c31bce8c-f503-4ca9-80ba-1bae02349649,bookerr.npstltdindia@sbm,payMerchant,Jayme88@axisb,N,5c0ee54fb0e177950fb99b62,
30-07-2024 00:00:00,325.83,U09,SUCCESS,269911118461,b8791d2d-3a3c-4eff-9cbd-9e684944d111,bookerr.npstltdindia@sbm,Person,Marshall_Walker@abfspay,N,514affd68c2a9cbede10b6b6,
30-07-2024 00:00:00,300.15,U31,SUCCESS,176071997855,43f4da82-e096-4a35-9fce-7bde5c20f2a5,telecom.fiber@sbm,payMerchant,Gilberto.Aufderhar21@icici,N,aa4dbfdbfc5e213662b2aa0c,4814
30-07-2024 00:00:00,811.84,U67,FAILURE,634495528617,8641790f-3a90-4369-b6a1-70d84de2baf9,traveler.wander@sbm,Person,Robert.Lang@timecosmos,N,b3e4b4b89e82$%$a9c00c9b07ed,4722
30-07-2024 00:00:00,19.47,S96,SUCCESS,941267992650,38675437-b8b3-4b7f-bb97-8f8850de5745,gamming.submarine@sbm,PayMerchant,Joey_Braun7@okaxis,N,fa10eea8e11eda4d121cafcc,5816
30-07-2024 00:00:00,696.68,U09,SUCCESS,166183660553,95a9530e-7754-4c79-a9e3-12db54e8095b,bookerr.npstltdindia@sbm,Person,Flavio45@okhdfcbank,N,8ceaf01ec39eeeabff1f7ef7,
30-07-2024 00:00:00,227.59,U30,DEEMED,150216791305,e23fa8c2-4039-4185-90c6-a881978963a5,dinning.tacos@sbm,payMerchant,Timmothy68@okaxis,N,cf8ec20cd1f2affd2a6a1be5,5814
30-07-2024 00:00:00,428.53,U30,SUCCESS,679149068910,47dc6cf4-e791-4d7a-b415-c0fb381f04ea,dinning.pizza@sbm,payMerchant,Presley_Lind@okaxis,N,099e79b4ed0fd4fa0b7d2a8f,5814
30-07-2024 00:00:00,463.79,U67,FAILURE,863873487233,17cd846c-543f-4ef8-a766-ead2b07acc0b,telecom.mobile@sbm,Person,Ignacio_Anderson20@yapl,N,27ffe2c9816e419065e9c78b,4814
30-07-2024 00:00:00,615.65,U30,SUCCESS,442404094073,e303eddc-43e7-423d-b374-3099d2446d10,traveler.expedition@sbm,payMerchant,Agnes_Kuvalis69@oksbi,N,b30fe2f567eeef0dcf3957cd,4722
30-07-2024 00:00:00,766.56,U31,DEEMED,189758814446,a28178d0-a53d-43bd-9cf4-ea8f3f8a026e,grocery.sbmrite@sbm,Person,Ford33@okaxis,N,cf27854f3d26ef1afc0d8e5f,5411
30-07-2024 00:00:00,359.92,S96,SUCCESS,568706729186,9f77cc54-d2b3-46d0-aa43-e43ef36b4e60,grocery.town@sbm,Person,Arnaldo_Kutch@rapl,N,81e6eeb7645bfafda91a05ab,5411
30-07-2024 00:00:00,360.34,S96,SUCCESS,230117620760,7b7e37f6-7abf-45af-9d28-4ace17e7653b,traveler.expedition@sbm,payMerchant,Alison_Emard@yesg,N,5dc6d98cca3f38c6d0ab2bbf,4722
30-07-2024 00:00:00,902.57,S96,SUCCESS,810823614079,599c6e2f-313f-4b3c-938e-6d3649ac5cf4,dinning.burger@sbm,payMerchant,Lloyd33@okicici,N,b51b632f7dea2adececf391e,5814
30-07-2024 00:00:00,359.13,U31,SUCCESS,80033192963,1b2ec88f-7fd0-4e17-be8b-aec9d4b3762c,traveler.wander@sbm,PayMerchant,Liliane_Swaniawski@icici,N,d2e0ccfba9e2e323cfcacaf4,4722
30-07-2024 00:00:00,804.61,U30,DEEMED,935264201507,e052f133-b7ab-40b9-b37f-9d4075ffeaa2,traveler.escape@sbm,payMerchant,Theo22@paytm,N,9552b86780c0accefcb685ad,4722
30-07-2024 00:00:00,704.38,U31,FAILURE,394407503863,e352f937-671d-480c-a757-001ac2c0b302,telecom.data@sbm,payMerchant,Emmanuelle_Graham38@okicici,N,b383de36be16f5937eac5b06,4814
30-07-2024 00:00:00,56.33,U30,DEEMED,284635303426,9d460f2d-f3d6-4cd1-98ba-52b898fa2cd6,telecom.satellite@sbm,Person,Onie.Orn@fkaxis,N,bf55bafd92d63c1baa20d7c4,4814
